Zone,State,City,Destination,Category,HoursNeeded,Rating,EntranceFee,HasAirport,Significance,BestTime,FocusTrait
Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,1.0,4.6,0,Yes,Religious,All,Culture
Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,1.5,4.5,0,Yes,Recreational,Morning,Nature
Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,1.0,4.7,0,No,Religious,All,Culture
Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,2.0,4.3,0,Yes,Nature,All,Nature
Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,1.5,4.6,0,No,Historical,All,Culture
Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,1.5,4.4,65,Yes,Natural Wonder,Afternoon,Culture
Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,1.0,4.4,10,Yes,Wildlife,All,Culture
Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,1.5,4.5,0,No,Historical,Morning,Culture
Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,2.0,4.5,0,Yes,Recreational,All,Nature
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,1.0,4.6,40,Yes,Historical,All,Culture
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,2.0,4.5,60,No,Natural Wonder,Afternoon,Culture
Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,1.0,4.6,0,Yes,Historical,All,Culture
Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,2.0,4.1,20,Yes,Wildlife,Afternoon,Culture
Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,1.0,3.8,20,Yes,Recreational,All,Culture
Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1.0,4.3,10,Yes,Cultural,All,Culture
Eastern,Sikkim,Gangtok,Nathula Pass,Hill,2.0,4.3,20,Yes,Historical,Afternoon,Nature
Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1.0,4.6,20,No,Religious,Morning,Culture
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,2.0,4.7,50,Yes,Religious,All,Culture
Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1.0,4.6,10,Yes,Religious,Morning,Culture
Eastern,Sikkim,Ravangla,Buddha Park,Park,1.0,4.8,50,Yes,Cultural,All,Culture
Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,2.0,4.5,0,Yes,Nature,Morning,Nature
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,2.0,4.6,0,Yes,Religious,All,Culture
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,3.0,4.5,650,No,Wildlife,Morning,Nature
North Eastern,Assam,Guwahati,Umananda Island,Island,1.0,4.1,0,Yes,Nature,Morning,Culture
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1.0,4.7,0,No,Historical,All,Culture
North Eastern,Assam,Majuli,Majuli Island,River Island,2.0,4.7,0,No,Cultural,Morning,Culture
North Eastern,Assam,Manas,Manas National Park,National Park,3.0,4.6,500,No,Wildlife,Morning,Nature
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,1.0,4.5,0,No,Religious,All,Culture
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,2.0,4.4,500,Yes,Wildlife,All,Nature
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,2.0,4.7,0,No,Religious,Morning,Culture
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1.5,4.5,10,Yes,Historical,All,Culture
North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,1.0,4.5,0,No,Nature,Morning,Nature
North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,1.5,4.5,20,No,Historical,Morning,Culture
Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,1.5,4.6,0,No,Nature,Morning,Nature
North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,3.0,4.7,0,No,Trekking,Afternoon,Culture
Southern,Puducherry,Puducherry,Promenade Beach,Beach,1.0,4.5,0,Yes,Recreational,Morning,Nature
Southern,Puducherry,Auroville,Auroville,Township,2.0,4.1,0,Yes,Cultural,All,Culture
Southern,Puducherry,Puducherry,Paradise Beach,Beach,1.0,4.5,200,Yes,Recreational,Morning,Nature
Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1.5,4.7,30,Yes,Historical,Afternoon,Culture
Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,1.0,4.8,0,No,Nature,Morning,Nature
Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,1.0,4.5,0,No,Nature,Morning,Nature
Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,1.5,4.4,250,No,Nature,Morning,Culture
Western,Daman and Diu,Diu,Naida Caves,Cave,1.0,4.5,0,No,Nature,Afternoon,Culture
Western,Daman and Diu,Diu,Diu Fort,Fort,1.5,4.6,0,No,Historical,Afternoon,Culture
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,1.0,4.7,0,Yes,Religious,All,Culture
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,1.0,4.6,0,Yes,Religious,All,Culture
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,1.5,4.7,0,Yes,Religious,All,Culture
Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,2.5,4.3,30,Yes,Wildlife,All,Culture
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,1.0,4.7,0,Yes,Religious,All,Culture
Eastern,Bihar,Patna,Budhha Smriti Park,Park,1.0,4.4,10,Yes,Cultural,All,Culture
Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,3.0,4.4,1100,Yes,Entertainment,Afternoon,Culture
Northern,Haryana,Gurugram,Ambience Mall,Mall,2.0,4.6,0,Yes,Shopping,Afternoon,Culture
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,2.0,4.7,0,Yes,Entertainment,Afternoon,Culture
Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,1.0,4.8,0,Yes,Religious,All,Culture
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,1.5,4.8,0,No,Religious,All,Culture
Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2.0,4.6,0,Yes,Shopping,All,Culture
Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,2.0,4.2,0,Yes,Shopping,All,Culture
Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,4.0,4.5,890,Yes,Entertainment,All,Thrills
Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,3.0,4.4,50,Yes,Wildlife,Afternoon,Culture
Southern,Karnataka,Bengaluru,Orion Mall,Mall,2.0,4.5,0,Yes,Shopping,All,Culture
Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2.0,4.5,0,Yes,Shopping,All,Culture
Northern,Delhi,New Delhi,Jama Masjid,Mosque,1.0,4.5,0,Yes,Historical,All,Culture
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.7,0,Yes,Religious,All,Culture
Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2.0,4.6,1500,Yes,Sports,All,Culture
Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2.0,4.6,0,Yes,Shopping,All,Culture
Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,3.0,4.6,0,Yes,Shopping,All,Culture
Northern,Delhi,New Delhi,Rail Museum,Museum,2.0,4.4,50,Yes,Cultural,Morning,Culture
North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,2.0,4.6,0,No,Nature,Morning,Culture
Western,Gujarat,Gandhinagar,Akshardham,Temple,3.0,4.6,0,Yes,Religious,All,Culture
Central,Uttar Pradesh,Agra,Agra Fort,Fort,2.0,4.5,40,Yes,Historical,Afternoon,Culture
Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2.0,4.7,10,Yes,Cultural,All,Culture
Northern,Rajasthan,Jaipur,City Palace,Palace,2.0,4.4,200,Yes,Historical,Morning,Culture
Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,2.0,4.5,200,Yes,Historical,All,Culture
